     9.636176823, 103720855, , ldst_spec, 99985851, 100.00, , 
     9.736331157, 1291, , cache-misses, 99978852, 100.00, 0.001, of all cache refs
     9.736331157, 97593800, , cache-references, 99978852, 100.00, , 
     9.736331157, 103805150, , ldst_spec, 99978852, 100.00, , 
     9.836480860, 1172, , cache-misses, 99987110, 100.00, 0.001, of all cache refs
     9.836480860, 97798851, , cache-references, 99987110, 100.00, , 
     9.836480860, 103557373, , ldst_spec, 99987110, 100.00, , 
     9.936630490, 1194, , cache-misses, 99986908, 100.00, 0.001, of all cache refs
     9.936630490, 97415070, , cache-references, 99986908, 100.00, , 
     9.936630490, 103531512, , ldst_spec, 99986908, 100.00, , 
    10.036779379, 1300, , cache-misses, 99977851, 100.00, 0.001, of all cache refs
    10.036779379, 97093830, , cache-references, 99977851, 100.00, , 
    10.036779379, 103270177, , ldst_spec, 99977851, 100.00, , 
    10.136935120, 1172, , cache-misses, 99983410, 100.00, 0.001, of all cache refs
    10.136935120, 97116718, , cache-references, 99983410, 100.00, , 
    10.136935120, 103334453, , ldst_spec, 99983410, 100.00, , 
    10.237094528, 1253, , cache-misses, 99985295, 100.00, 0.001, of all cache refs
    10.237094528, 97253784, , cache-references, 99985295, 100.00, , 
    10.237094528, 103332921, , ldst_spec, 99985295, 100.00, , 
    10.337247788, 1266, , cache-misses, 99977445, 100.00, 0.001, of all cache refs
    10.337247788, 97301972, , cache-references, 99977445, 100.00, , 
    10.337247788, 103368586, , ldst_spec, 99977445, 100.00, , 
    10.437402880, 1383, , cache-misses, 99951796, 100.00, 0.001, of all cache refs
    10.437402880, 97076978, , cache-references, 99951796, 100.00, , 
    10.437402880, 103246143, , ldst_spec, 99951796, 100.00, , 
    10.537556881, 1388, , cache-misses, 99985926, 100.00, 0.001, of all cache refs
    10.537556881, 97144736, , cache-references, 99985926, 100.00, , 
    10.537556881, 103271240, , ldst_spec, 99985926, 100.00, , 
    10.637707863, 1174, , cache-misses, 99986574, 100.00, 0.001, of all cache refs
    10.637707863, 97140627, , cache-references, 99986574, 100.00, , 
    10.637707863, 103281437, , ldst_spec, 99986574, 100.00, , 
    10.737856585, 1243, , cache-misses, 99986092, 100.00, 0.001, of all cache refs
    10.737856585, 97094066, , cache-references, 99986092, 100.00, , 
    10.737856585, 103314512, , ldst_spec, 99986092, 100.00, , 
    10.838006919, 1215, , cache-misses, 99989517, 100.00, 0.001, of all cache refs
    10.838006919, 97010447, , cache-references, 99989517, 100.00, , 
    10.838006919, 103450876, , ldst_spec, 99989517, 100.00, , 
    10.938153253, 1167, , cache-misses, 99981796, 100.00, 0.001, of all cache refs
    10.938153253, 97411131, , cache-references, 99981796, 100.00, , 
    10.938153253, 103444517, , ldst_spec, 99981796, 100.00, , 
    11.038302420, 1240, , cache-misses, 99986443, 100.00, 0.001, of all cache refs
    11.038302420, 97332087, , cache-references, 99986443, 100.00, , 
    11.038302420, 103326398, , ldst_spec, 99986443, 100.00, , 
    11.138452958, 1209, , cache-misses, 99988814, 100.00, 0.001, of all cache refs
    11.138452958, 97455266, , cache-references, 99988814, 100.00, , 
    11.138452958, 103366745, , ldst_spec, 99988814, 100.00, , 
    11.238603663, 1261, , cache-misses, 99981664, 100.00, 0.001, of all cache refs
    11.238603663, 97368945, , cache-references, 99981664, 100.00, , 
    11.238603663, 103253803, , ldst_spec, 99981664, 100.00, , 
    11.338754497, 1194, , cache-misses, 99986315, 100.00, 0.001, of all cache refs
    11.338754497, 97594087, , cache-references, 99986315, 100.00, , 
    11.338754497, 103402762, , ldst_spec, 99986315, 100.00, , 
    11.438905090, 1313, , cache-misses, 99955831, 100.00, 0.001, of all cache refs
    11.438905090, 97461696, , cache-references, 99955831, 100.00, , 
    11.438905090, 103107858, , ldst_spec, 99955831, 100.00, , 
    11.539056276, 1234, , cache-misses, 99982000, 100.00, 0.001, of all cache refs
    11.539056276, 97818034, , cache-references, 99982000, 100.00, , 
    11.539056276, 103580359, , ldst_spec, 99982000, 100.00, , 
    11.639204388, 1219, , cache-misses, 99986667, 100.00, 0.001, of all cache refs
    11.639204388, 97473209, , cache-references, 99986667, 100.00, , 
    11.639204388, 103197013, , ldst_spec, 99986667, 100.00, , 
    11.739357778, 1273, , cache-misses, 99989665, 100.00, 0.001, of all cache refs
    11.739357778, 97389100, , cache-references, 99989665, 100.00, , 
    11.739357778, 103311124, , ldst_spec, 99989665, 100.00, , 
    11.839510167, 1173, , cache-misses, 99981537, 100.00, 0.001, of all cache refs
    11.839510167, 97378381, , cache-references, 99981537, 100.00, , 
    11.839510167, 103347869, , ldst_spec, 99981537, 100.00, , 
    11.939660169, 1202, , cache-misses, 99986222, 100.00, 0.001, of all cache refs
    11.939660169, 97378123, , cache-references, 99986222, 100.00, , 
    11.939660169, 103573627, , ldst_spec, 99986222, 100.00, , 
    12.039813836, 1259, , cache-misses, 99988390, 100.00, 0.001, of all cache refs
    12.039813836, 97512656, , cache-references, 99988390, 100.00, , 
    12.039813836, 103464993, , ldst_spec, 99988390, 100.00, , 
